"","ï..Country","pop"
"1","Afghanistan",38928341
"2","Albania",2877800
"3","Algeria",43851043
"4","American Samoa",55197
"5","Andorra",77265
"6","Angola",32866268
"7","Anguilla",15002
"8","Antigua and Barbuda",97928
"9","Argentina",45195777
"10","Armenia",2963234
"11","Aruba",106766
"12","Australia",25499881
"13","Austria",9006400
"14","Azerbaijan",10139175
"15","Bahamas",393248
"16","Bahrain",1701583
"17","Bangladesh",164689383
"18","Barbados",287371
"19","Belarus",9449321
"20","Belgium",11589616
"21","Belize",397621
"22","Benin",12123198
"23","Bermuda",62273
"24","Bhutan",771612
"25","Bolivia (Plurinational State of)",11673029
"26","Bonaire, Sint Eustatius and Saba",26221
"27","Bosnia and Herzegovina",3280815
"28","Botswana",2351625
"29","Brazil",212559409
"30","British Virgin Islands",30237
"31","Brunei Darussalam",437483
"32","Bulgaria",6948445
"33","Burkina Faso",20903278
"34","Burundi",11890781
"35","Cabo Verde",555988
"36","Cambodia",16718971
"37","Cameroon",26545864
"38","Canada",37742157
"39","Cayman Islands",65720
"40","Central African Republic",4829764
"41","Chad",16425859
"42","Chile",19116209
"43","China",1439323774
"44","Colombia",50882884
"45","Comoros",869595
"46","Congo",5518092
"47","Cook Islands",17564
"48","Costa Rica",5094114
"49","CâˆšÂ¥te dâ€šÃ„Ã´Ivoire",26378275
"50","Croatia",4105268
"51","Cuba",11326616
"52","CuraâˆšÃŸao",164100
"53","Cyprus",1207361
"54","Czechia",10708982
"55","Democratic People's Republic of Korea",25778815
"56","Democratic Republic of the Congo",89561404
"57","Denmark",5792203
"58","Djibouti",988002
"59","Dominica",71991
"60","Dominican Republic",10847904
"61","Ecuador",17643060
"62","Egypt",102334403
"63","El Salvador",6486201
"64","Equatorial Guinea",1402985
"65","Eritrea",3546427
"66","Estonia",1326539
"67","Eswatini",1160164
"68","Ethiopia",114963583
"69","Falkland Islands (Malvinas)",3483
"70","Faroe Islands",48865
"71","Fiji",896444
"72","Finland",5540718
"73","France",65273512
"74","French Guiana",298682
"75","French Polynesia",280904
"76","Gabon",2225728
"77","Gambia",2416664
"78","Georgia",3989175
"79","Germany",83783945
"80","Ghana",31072945
"81","Gibraltar",33691
"82","Greece",10423056
"83","Greenland",56772
"84","Grenada",112519
"85","Guadeloupe",400127
"86","Guam",168783
"87","Guatemala",17915567
"88","Guernsey",63021
"89","Guinea",13132792
"90","Guinea-Bissau",1967998
"91","Guyana",786559
"92","Haiti",11402533
"93","Holy See",809
"94","Honduras",9904608
"95","Hungary",9660350
"96","Iceland",341250
"97","India",1380004385
"98","Indonesia",273523621
"99","Iran (Islamic Republic of)",83992953
"100","Iraq",40222503
"101","Ireland",4937796
"102","Isle of Man",85032
"103","Israel",8655541
"104","Italy",60461828
"105","Jamaica",2961161
"106","Japan",126476458
"107","Jersey",107800
"108","Jordan",10203140
"109","Kazakhstan",18776707
"110","Kenya",53771300
"111","Kiribati",119446
"112","Kosovo[1]",1860381
"113","Kuwait",4270563
"114","Kyrgyzstan",6524191
"115","Lao People's Democratic Republic",7275556
"116","Latvia",1886202
"117","Lebanon",6825442
"118","Lesotho",2142252
"119","Liberia",5057677
"120","Libya",6871287
"121","Liechtenstein",38137
"122","Lithuania",2722291
"123","Luxembourg",625976
"124","Madagascar",27691019
"125","Malawi",19129955
"126","Malaysia",32365998
"127","Maldives",540542
"128","Mali",20250834
"129","Malta",441539
"130","Marshall Islands",59194
"131","Martinique",375265
"132","Mauritania",4649660
"133","Mauritius",1271767
"134","Mayotte",272813
"135","Mexico",128932753
"136","Micronesia (Federated States of)",115021
"137","Monaco",39244
"138","Mongolia",3278292
"139","Montenegro",628062
"140","Montserrat",4999
"141","Morocco",36910558
"142","Mozambique",31255435
"143","Myanmar",54409794
"144","Namibia",2540916
"145","Nauru",10834
"146","Nepal",29136808
"147","Netherlands",17134873
"148","New Caledonia",285491
"149","New Zealand",4822233
"150","Nicaragua",6624554
"151","Niger",24206636
"152","Nigeria",206139587
"153","Niue",1618
"154","North Macedonia",2083380
"155","Northern Mariana Islands (Commonwealth of the)",57557
"156","Norway",5421242
"157","occupied Palestinian territory, including east Jerusalem",5101416
"158","Oman",5106622
"159","Other",0
"160","Pakistan",220892331
"161","Palau",18092
"162","Panama",4314768
"163","Papua New Guinea",8947027
"164","Paraguay",7132530
"165","Peru",32971846
"166","Philippines",109581085
"167","Pitcairn Islands",50
"168","Poland",37846605
"169","Portugal",10196707
"170","Puerto Rico",2860840
"171","Qatar",2881060
"172","Republic of Korea",51269183
"173","Republic of Moldova",4033963
"174","RâˆšÂ©union",895308
"175","Romania",19237682
"176","Russian Federation",145934460
"177","Rwanda",12952209
"178","Saint BarthâˆšÂ©lemy",9885
"179","Saint Helena",6071
"180","Saint Kitts and Nevis",53192
"181","Saint Lucia",183629
"182","Saint Martin",38659
"183","Saint Pierre and Miquelon",5795
"184","Saint Vincent and the Grenadines",110947
"185","Samoa",198410
"186","San Marino",33938
"187","Sao Tome and Principe",219161
"188","Saudi Arabia",34813867
"189","Senegal",16743930
"190","Serbia",8737370
"191","Seychelles",98340
"192","Sierra Leone",7976985
"193","Singapore",5850343
"194","Sint Maarten",42882
"195","Slovakia",5459643
"196","Slovenia",2078932
"197","Solomon Islands",686878
"198","Somalia",15893219
"199","South Africa",59308690
"200","South Sudan",11193729
"201","Spain",46754783
"202","Sri Lanka",21413250
"203","Sudan",43849269
"204","Suriname",586634
"205","Sweden",10099270
"206","Switzerland",8654618
"207","Syrian Arab Republic",17500657
"208","Tajikistan",9537642
"209","Thailand",69799978
"210","The United Kingdom",67886004
"211","Timor-Leste",1318442
"212","Togo",8278737
"213","Tokelau",1350
"214","Tonga",105697
"215","Trinidad and Tobago",1399491
"216","Tunisia",11818618
"217","Turkey",84339067
"218","Turkmenistan",6031187
"219","Turks and Caicos Islands",38718
"220","Tuvalu",11792
"221","Uganda",45741000
"222","Ukraine",43733759
"223","United Arab Emirates",9890400
"224","United Republic of Tanzania",59734213
"225","United States of America",331002647
"226","United States Virgin Islands",104423
"227","Uruguay",3473727
"228","Uzbekistan",33469199
"229","Vanuatu",307150
"230","Venezuela (Bolivarian Republic of)",28435943
"231","Viet Nam",97338583
"232","Wallis and Futuna",11246
"233","Yemen",29825968
"234","Zambia",18383956
"235","Zimbabwe",14862927
